filename,bib_numbers,notes
_5D_0004.JPG,129,
_5D_0007.JPG,1537;1049;1683,numbers are partially blurred due to motion and distance
_5D_0009.JPG,280;1153;1151,
_5D_0010.JPG,2823;1022;1159,
_5D_0011.JPG,1007,
_5D_0015.JPG,350;187;120,
_5D_0017.JPG,1199,
_5D_0022.JPG,1485;1143;1165,
_5D_0023.JPG,1152;1109,
_5D_0028.JPG,1305,
_5D_0029.JPG,none,
_5D_0030.JPG,none,
_5D_0035.JPG,1130;548;1161,
_5D_0044.JPG,none,
_5D_0045.JPG,none,
_5D_0046.JPG,none,
_5D_0047.JPG,none,
_5D_0048.JPG,none,
_5D_0051.JPG,520;1156;3120,
_5D_0054.JPG,1153;406;108,
_5D_0057.JPG,none,
_5D_0058.JPG,none,
_5D_0059.JPG,1071;646,
_5D_0061.JPG,none,
_5D_0062.JPG,none,
_5D_0064.JPG,2937,
_5D_0066.JPG,4122;1073;4181,
_5D_0068.JPG,1305;1846,
_5D_0070.JPG,1092;1056,
_5D_0071.JPG,1003,
_5D_0072.JPG,2076;354;1058;272,
_5D_0079.JPG,108,
_5D_0082.JPG,1059,
_5D_0085.JPG,1157;1874,
_5D_0090.JPG,none,
_5D_0097.JPG,1019,
_5D_0099.JPG,none,
_5D_0101.JPG,418,
_5D_0102.JPG,none,
_5D_0111.JPG,1184;1096,
_5D_0114.JPG,1104,
_5D_0118.JPG,1415,
_5D_0119.JPG,252,
_5D_0120.JPG,4082,
_5D_0121.JPG,1023,
_5D_0124.JPG,1042,
_5D_0129.JPG,1125,
_5D_0131.JPG,425,
_5D_0133.JPG,1126,
_5D_0134.JPG,1160,
_5D_0136.JPG,2180,
_5D_0139.JPG,1140;1159,one bib partially cropped at edge
_5D_0140.JPG,1093;1065,
_5D_0146.JPG,1192;1041,
_5D_0147.JPG,1033;1041,
_5D_0148.JPG,2019,
_5D_0151.JPG,1018,
_5D_0152.JPG,1078,
_5D_0153.JPG,1402,
_5D_0154.JPG,1838,
_5D_0156.JPG,4386,
_5D_0158.JPG,1186,
_5D_0161.JPG,1081,
_5D_0162.JPG,1081,
_5D_0165.JPG,1091,
_5D_0166.JPG,1081,one bib partially obscured
_5D_0167.JPG,none,
_5D_0168.JPG,none,
_5D_0170.JPG,1131;1044,
_5D_0171.JPG,1044,
_5D_0173.JPG,460,
_5D_0174.JPG,1078,
_5D_0177.JPG,2046;2869,
_5D_0179.JPG,1047,
_5D_0180.JPG,1047,
_5D_0181.JPG,1047,
_5D_0182.JPG,1047,
_5D_0184.JPG,3091,
_5D_0185.JPG,1475,
_5D_0187.JPG,1022;1633,
_5D_0189.JPG,4053,
_5D_0191.JPG,1053;1460,
_5D_0194.JPG,1156;1155;1208;1930,
_5D_0195.JPG,1042;982,
_5D_0198.JPG,4139,
_5D_0200.JPG,1013,
_5D_0206.JPG,4735;1028,
_5D_0207.JPG,1078;1066;1053,
_5D_0208.JPG,1173,
_5D_0211.JPG,1082,
_5D_0212.JPG,1424,
_5D_0213.JPG,1124,
_5D_0217.JPG,1124,
_5D_0218.JPG,1424,
_5D_0227.JPG,11095,
_5D_0228.JPG,1059,
_5D_0229.JPG,2805,
_5D_0230.JPG,none,
_5D_0237.JPG,1153;1170,
_5D_0238.JPG,1572;1630;1470,
_5D_0239.JPG,2605,
_5D_0240.JPG,none,
_5D_0241.JPG,none,
_5D_0245.JPG,483;1130,
_5D_0250.JPG,1430,
_5D_0251.JPG,1130,
_5D_0252.JPG,1079,
_5D_0255.JPG,none,
_5D_0256.JPG,none,
_5D_0257.JPG,none,
_5D_0261.JPG,none,
_5D_0263.JPG,1432,
_5D_0264.JPG,none,
_5D_0266.JPG,2498;2306,
_5D_0267.JPG,1165,
_5D_0268.JPG,50;1363;897,
_5D_0270.JPG,none,
_5D_0272.JPG,none,
_5D_0275.JPG,7036;1913,
_5D_0278.JPG,1153;1192,
_5D_0280.JPG,193;240,
_5D_0281.JPG,1193;1192,
_5D_0284.JPG,1027;1028,
_5D_0290.JPG,1077;2582;1290,
_5D_0291.JPG,1397,
_5D_0292.JPG,1337,
_5D_0293.JPG,1197,
_5D_0294.JPG,197,
_5D_0295.JPG,1197,
_5D_0296.JPG,1197,
_5D_0298.JPG,1063,
_5D_0300.JPG,1560,
_5D_0301.JPG,1065;1167,
_5D_0309.JPG,1161,
_5D_0311.JPG,161,
_5D_0312.JPG,1460,
_5D_0313.JPG,182,
_5D_0314.JPG,1162,
_5D_0316.JPG,1182,
_5D_0320.JPG,none,
_5D_0321.JPG,none,
_5D_0322.JPG,1430,
_5D_0326.JPG,1099;1145,
_5D_0331.JPG,1024,
_5D_0333.JPG,1067,
_5D_0337.JPG,1055,
_5D_0338.JPG,1015,
_5D_0339.JPG,1095,
_5D_0341.JPG,1662,
_5D_0346.JPG,130,
_5D_0347.JPG,none,
_5D_0348.JPG,none,
_5D_0352.JPG,1156,
_5D_0354.JPG,140,
_5D_0355.JPG,1118,
_5D_0356.JPG,116,
_5D_0357.JPG,1872,
_5D_0363.JPG,1109;1122,
_5D_0365.JPG,4083,
_5D_0367.JPG,10405;1016,
_5D_0369.JPG,1004,
_5D_0370.JPG,1106,
_5D_0375.JPG,13,
_5D_0376.JPG,285;4042;1802,
_5D_0377.JPG,1188;1184,
_5D_0379.JPG,1188;1184,
_5D_0380.JPG,1184,
_5D_0388.JPG,1901,
_5D_0392.JPG,1007;2172;507,
_5D_0396.JPG,237,
_5D_0402.JPG,none,
_5D_0405.JPG,none,
_5D_0411.JPG,none,
_5D_0413.JPG,1154;1176,
_5D_0415.JPG,1492,
_5D_0420.JPG,952,
_5D_0421.JPG,104,
_5D_0423.JPG,none,
_5D_0425.JPG,1576,
_5D_0426.JPG,1077,
_5D_0428.JPG,508;641,
_5D_0429.JPG,198,
_5D_0432.JPG,1057;1032,
_5D_0434.JPG,1137;1135,
_5D_0437.JPG,1113,
_5D_0439.JPG,180;187,
_5D_0442.JPG,none,
_5D_0443.JPG,none,
_5D_0444.JPG,572;823,
_5D_0445.JPG,382;409,
_5D_0447.JPG,356;148,
_5D_0448.JPG,none,
_5D_0455.JPG,none,
_5D_0458.JPG,none,
_5D_0461.JPG,none,
_5D_0465.JPG,none,
_5D_0467.JPG,none,
_5D_0468.JPG,none,
_5D_0470.JPG,none,
_5D_0473.JPG,none,
_5D_0474.JPG,none,
_5D_0475.JPG,none,
_5D_0478.JPG,none,
_5D_0479.JPG,none,
_5D_0480.JPG,none,
_5D_0481.JPG,none,
_5D_0484.JPG,none,
_5D_0487.JPG,none,
_5D_0490.JPG,none,
_5D_0492.JPG,442,
_5D_0493.JPG,4422,back bib
_5D_0494.JPG,none,
_5D_0495.JPG,none,
_5D_0499.JPG,none,
_5D_0502.JPG,930,
_5D_0504.JPG,none,
_5D_0507.JPG,none,
_5D_0510.JPG,none,
_5D_0514.JPG,none,
_5D_0518.JPG,none,
_5D_0521.JPG,none,
_5D_0526.JPG,none,
_5D_0527.JPG,none,
_5D_0528.JPG,none,
_5D_0529.JPG,none,
_5D_0535.JPG,none,
_5D_0537.JPG,none,
_5D_0538.JPG,none,
_5D_0539.JPG,none,
_5D_0540.JPG,none,
_5D_0543.JPG,none,
_5D_0544.JPG,none,
_5D_0547.JPG,none,
_5D_0550.JPG,none,
_5D_0551.JPG,none,
_5D_0553.JPG,none,
_5D_0554.JPG,none,
_5D_0557.JPG,none,
_5D_0558.JPG,none,
_5D_0559.JPG,none,
_5D_0560.JPG,none,
_5D_0561.JPG,none,
_5D_0562.JPG,none,
_5D_0567.JPG,none,
_5D_0575.JPG,none,
_5D_0576.JPG,none,
_5D_0577.JPG,none,
_5D_0578.JPG,none,
_5D_0584.JPG,none,
_5D_0587.JPG,none,
_5D_0589.JPG,none,
_5D_0593.JPG,none,
_5D_0594.JPG,none,
_5D_0598.JPG,none,
_5D_0599.JPG,none,
_5D_0602.JPG,none,
_5D_0604.JPG,none,
_5D_0606.JPG,none,
_5D_0607.JPG,none,
_5D_0612.JPG,4,
_5D_0615.JPG,none,
_5D_0618.JPG,none,
_5D_0619.JPG,none,
_5D_0621.JPG,none,
_5D_0622.JPG,none,
_5D_0623.JPG,none,
_5D_0624.JPG,none,
_5D_0631.JPG,none,
_5D_0632.JPG,none,
_5D_0633.JPG,none,
_5D_0634.JPG,none,
_5D_0638.JPG,none,
_5D_0640.JPG,none,
_5D_0641.JPG,none,
_5D_0644.JPG,none,
_5D_0648.JPG,none,
_5D_0649.JPG,none,
_5D_0650.JPG,none,
_5D_0652.JPG,none,
_5D_0655.JPG,none,
_5D_0657.JPG,none,
_5D_0659.JPG,none,
_5D_0661.JPG,none,
_5D_0665.JPG,none,
_5D_0666.JPG,none,
_5D_0668.JPG,none,
_5D_0669.JPG,none,
_5D_0674.JPG,none,
_5D_0678.JPG,none,
_5D_0679.JPG,none,
_5D_0684.JPG,none,
_5D_0685.JPG,none,
_5D_0686.JPG,none,
_5D_0688.JPG,none,
_5D_0692.JPG,none,
_5D_0693.JPG,none,
_5D_0694.JPG,none,
_5D_0695.JPG,none,"cyclists in team kits, no bibs visible"
_5D_0696.JPG,none,
_5D_0697.JPG,none,
_5D_0698.JPG,none,
_5D_0700.JPG,none,
_5D_0706.JPG,none,
_5D_0711.JPG,none,
_5D_0712.JPG,96,
_5D_0713.JPG,30,
_5D_0714.JPG,397,
_5D_0716.JPG,none,
_5D_0722.JPG,none,
_5D_0724.JPG,none,
_5D_0728.JPG,none,
_5D_0734.JPG,none,
_5D_0743.JPG,none,
_5D_0746.JPG,none,
_5D_0759.JPG,none,
_5D_0761.JPG,none,
_5D_0763.JPG,none,
_5D_0764.JPG,none,
_5D_0771.JPG,none,
_5D_0776.JPG,none,
_5D_0778.JPG,42,
_5D_0780.JPG,none,
_5D_0781.JPG,none,
_5D_0782.JPG,none,
_5D_0784.JPG,none,
_5D_0787.JPG,none,
_5D_0788.JPG,none,
_5D_0795.JPG,none,
_5D_0796.JPG,none,
_5D_0797.JPG,none,
_5D_0798.JPG,none,
_5D_0800.JPG,none,
_5D_0804.JPG,none,
_5D_0809.JPG,none,
_5D_0811.JPG,none,
_5D_0812.JPG,none,
_5D_0813.JPG,none,"cyclists in team kits, no pinned bib visible"
_5D_0816.JPG,none,
_5D_0817.JPG,none,
_5D_0819.JPG,none,
_5D_0821.JPG,none,
_5D_0823.JPG,none,
_5D_0824.JPG,none,
_5D_0825.JPG,none,"cyclists in team kits, no bibs visible"
_5D_0827.JPG,none,
_5D_0832.JPG,none,
_5D_0834.JPG,none,
_5D_0836.JPG,none,
_5D_0840.JPG,149,
_5D_0842.JPG,537,
